"Stock Price","Date","Stock.Name"
20.52,2020-12-31,"BP P.L.C."
21.03,2020-12-30,"BP P.L.C."
21.07,2020-12-29,"BP P.L.C."
20.99,2020-12-28,"BP P.L.C."
21.06,2020-12-24,"BP P.L.C."
21.21,2020-12-23,"BP P.L.C."
20.48,2020-12-22,"BP P.L.C."
20.68,2020-12-21,"BP P.L.C."
21.74,2020-12-18,"BP P.L.C."
21.9,2020-12-17,"BP P.L.C."
21.83,2020-12-16,"BP P.L.C."
21.94,2020-12-15,"BP P.L.C."
21.36,2020-12-14,"BP P.L.C."
22.03,2020-12-11,"BP P.L.C."
22.41,2020-12-10,"BP P.L.C."
21.9,2020-12-09,"BP P.L.C."
21.79,2020-12-08,"BP P.L.C."
21.68,2020-12-07,"BP P.L.C."
22.27,2020-12-04,"BP P.L.C."
21.36,2020-12-03,"BP P.L.C."
21.07,2020-12-02,"BP P.L.C."
20.24,2020-12-01,"BP P.L.C."
19.56,2020-11-30,"BP P.L.C."
21.1,2020-11-27,"BP P.L.C."
21.41,2020-11-25,"BP P.L.C."
21.86,2020-11-24,"BP P.L.C."
20.41,2020-11-23,"BP P.L.C."
19.49,2020-11-20,"BP P.L.C."
19.53,2020-11-19,"BP P.L.C."
19.56,2020-11-18,"BP P.L.C."
20.05,2020-11-17,"BP P.L.C."
19.76,2020-11-16,"BP P.L.C."
18.8,2020-11-13,"BP P.L.C."
18.28,2020-11-12,"BP P.L.C."
18.88,2020-11-11,"BP P.L.C."
19.1,2020-11-10,"BP P.L.C."
18.08,2020-11-09,"BP P.L.C."
15.64,2020-11-06,"BP P.L.C."
15.83,2020-11-05,"BP P.L.C."
16.13,2020-11-04,"BP P.L.C."
16.18,2020-11-03,"BP P.L.C."
16.1,2020-11-02,"BP P.L.C."
15.48,2020-10-30,"BP P.L.C."
15.26,2020-10-29,"BP P.L.C."
14.9,2020-10-28,"BP P.L.C."
15.38,2020-10-27,"BP P.L.C."
15.8,2020-10-26,"BP P.L.C."
16.05,2020-10-23,"BP P.L.C."
16.1,2020-10-22,"BP P.L.C."
15.83,2020-10-21,"BP P.L.C."
16.15,2020-10-20,"BP P.L.C."
16.03,2020-10-19,"BP P.L.C."
16.25,2020-10-16,"BP P.L.C."
16.44,2020-10-15,"BP P.L.C."
16.59,2020-10-14,"BP P.L.C."
16.68,2020-10-13,"BP P.L.C."
17.24,2020-10-12,"BP P.L.C."
17.36,2020-10-09,"BP P.L.C."
17.49,2020-10-08,"BP P.L.C."
17.03,2020-10-07,"BP P.L.C."
16.93,2020-10-06,"BP P.L.C."
17.19,2020-10-05,"BP P.L.C."
16.85,2020-10-02,"BP P.L.C."
16.83,2020-10-01,"BP P.L.C."
17.46,2020-09-30,"BP P.L.C."
17.67,2020-09-29,"BP P.L.C."
18.18,2020-09-28,"BP P.L.C."
17.86,2020-09-25,"BP P.L.C."
17.93,2020-09-24,"BP P.L.C."
17.97,2020-09-23,"BP P.L.C."
18.48,2020-09-22,"BP P.L.C."
18.32,2020-09-21,"BP P.L.C."
18.88,2020-09-18,"BP P.L.C."
19.56,2020-09-17,"BP P.L.C."
19.96,2020-09-16,"BP P.L.C."
19.66,2020-09-15,"BP P.L.C."
19.84,2020-09-14,"BP P.L.C."
20.06,2020-09-11,"BP P.L.C."
19.91,2020-09-10,"BP P.L.C."
20.32,2020-09-09,"BP P.L.C."
20.15,2020-09-08,"BP P.L.C."
20.54,2020-09-04,"BP P.L.C."
20.61,2020-09-03,"BP P.L.C."
20.57,2020-09-02,"BP P.L.C."
20.77,2020-09-01,"BP P.L.C."
20.93,2020-08-31,"BP P.L.C."
21.38,2020-08-28,"BP P.L.C."
21.14,2020-08-27,"BP P.L.C."
21.38,2020-08-26,"BP P.L.C."
21.62,2020-08-25,"BP P.L.C."
21.91,2020-08-24,"BP P.L.C."
21.46,2020-08-21,"BP P.L.C."
21.96,2020-08-20,"BP P.L.C."
22.24,2020-08-19,"BP P.L.C."
22.36,2020-08-18,"BP P.L.C."
22.75,2020-08-17,"BP P.L.C."
22.99,2020-08-14,"BP P.L.C."
23.45,2020-08-13,"BP P.L.C."
24.26,2020-08-12,"BP P.L.C."
23.81,2020-08-11,"BP P.L.C."
23.5,2020-08-10,"BP P.L.C."
22.98,2020-08-07,"BP P.L.C."
23.26,2020-08-06,"BP P.L.C."
23.95,2020-08-05,"BP P.L.C."
23.74,2020-08-04,"BP P.L.C."
22.09,2020-08-03,"BP P.L.C."
22.04,2020-07-31,"BP P.L.C."
22.44,2020-07-30,"BP P.L.C."
23.22,2020-07-29,"BP P.L.C."
22.82,2020-07-28,"BP P.L.C."
23.14,2020-07-27,"BP P.L.C."
22.93,2020-07-24,"BP P.L.C."
23.22,2020-07-23,"BP P.L.C."
23.45,2020-07-22,"BP P.L.C."
24.09,2020-07-21,"BP P.L.C."
22.94,2020-07-20,"BP P.L.C."
23.25,2020-07-17,"BP P.L.C."
23.72,2020-07-16,"BP P.L.C."
23.81,2020-07-15,"BP P.L.C."
23.28,2020-07-14,"BP P.L.C."
22.46,2020-07-13,"BP P.L.C."
22.46,2020-07-10,"BP P.L.C."
22.05,2020-07-09,"BP P.L.C."
23.16,2020-07-08,"BP P.L.C."
23.02,2020-07-07,"BP P.L.C."
23.64,2020-07-06,"BP P.L.C."
23.41,2020-07-02,"BP P.L.C."
23.21,2020-07-01,"BP P.L.C."
23.32,2020-06-30,"BP P.L.C."
23.48,2020-06-29,"BP P.L.C."
22.76,2020-06-26,"BP P.L.C."
23.5,2020-06-25,"BP P.L.C."
23.14,2020-06-24,"BP P.L.C."
24.17,2020-06-23,"BP P.L.C."
23.87,2020-06-22,"BP P.L.C."
23.67,2020-06-19,"BP P.L.C."
23.69,2020-06-18,"BP P.L.C."
23.7,2020-06-17,"BP P.L.C."
24.55,2020-06-16,"BP P.L.C."
24.36,2020-06-15,"BP P.L.C."
24.75,2020-06-12,"BP P.L.C."
24.07,2020-06-11,"BP P.L.C."
26.38,2020-06-10,"BP P.L.C."
27.34,2020-06-09,"BP P.L.C."
28.38,2020-06-08,"BP P.L.C."
27.71,2020-06-05,"BP P.L.C."
25.69,2020-06-04,"BP P.L.C."
25.9,2020-06-03,"BP P.L.C."
24.95,2020-06-02,"BP P.L.C."
23.84,2020-06-01,"BP P.L.C."
23.14,2020-05-29,"BP P.L.C."
23.26,2020-05-28,"BP P.L.C."
23.93,2020-05-27,"BP P.L.C."
23.26,2020-05-26,"BP P.L.C."
22.98,2020-05-22,"BP P.L.C."
23.38,2020-05-21,"BP P.L.C."
23.62,2020-05-20,"BP P.L.C."
22.91,2020-05-19,"BP P.L.C."
23.51,2020-05-18,"BP P.L.C."
21.82,2020-05-15,"BP P.L.C."
22.14,2020-05-14,"BP P.L.C."
22.23,2020-05-13,"BP P.L.C."
23.06,2020-05-12,"BP P.L.C."
23.5,2020-05-11,"BP P.L.C."
24.03,2020-05-08,"BP P.L.C."
24.06,2020-05-07,"BP P.L.C."
23.58,2020-05-06,"BP P.L.C."
23.87,2020-05-05,"BP P.L.C."
23.25,2020-05-04,"BP P.L.C."
22.83,2020-05-01,"BP P.L.C."
23.8,2020-04-30,"BP P.L.C."
25.43,2020-04-29,"BP P.L.C."
24.16,2020-04-28,"BP P.L.C."
24.31,2020-04-27,"BP P.L.C."
23.39,2020-04-24,"BP P.L.C."
23.38,2020-04-23,"BP P.L.C."
23.33,2020-04-22,"BP P.L.C."
21.64,2020-04-21,"BP P.L.C."
22.35,2020-04-20,"BP P.L.C."
23.43,2020-04-17,"BP P.L.C."
21.85,2020-04-16,"BP P.L.C."
22.84,2020-04-15,"BP P.L.C."
24.44,2020-04-14,"BP P.L.C."
24.91,2020-04-13,"BP P.L.C."
24.9,2020-04-09,"BP P.L.C."
25.39,2020-04-08,"BP P.L.C."
24.8,2020-04-07,"BP P.L.C."
25.05,2020-04-06,"BP P.L.C."
24.72,2020-04-05,"BP P.L.C."
24.72,2020-04-04,"BP P.L.C."
24.72,2020-04-03,"BP P.L.C."
26.03,2020-04-02,"BP P.L.C."
24.37,2020-04-01,"BP P.L.C."
24.39,2020-03-31,"BP P.L.C."
23.92,2020-03-30,"BP P.L.C."
22.35,2020-03-29,"BP P.L.C."
22.35,2020-03-27,"BP P.L.C."
24.42,2020-03-26,"BP P.L.C."
24.29,2020-03-25,"BP P.L.C."
22.12,2020-03-24,"BP P.L.C."
18.13,2020-03-23,"BP P.L.C."
17.39,2020-03-22,"BP P.L.C."
17.39,2020-03-21,"BP P.L.C."
17.28,2020-03-20,"BP P.L.C."
17.07,2020-03-19,"BP P.L.C."
16.11,2020-03-18,"BP P.L.C."
18.84,2020-03-17,"BP P.L.C."
22.17,2020-03-16,"BP P.L.C."
22.17,2020-03-13,"BP P.L.C."
21.57,2020-03-12,"BP P.L.C."
26.79,2020-03-11,"BP P.L.C."
26.79,2020-03-10,"BP P.L.C."
24.77,2020-03-09,"BP P.L.C."
31.25,2020-03-08,"BP P.L.C."
31.25,2020-03-07,"BP P.L.C."
32.6,2020-03-06,"BP P.L.C."
33.14,2020-03-05,"BP P.L.C."
31.92,2020-03-04,"BP P.L.C."
32.23,2020-03-03,"BP P.L.C."
31.29,2020-03-02,"BP P.L.C."
31.29,2020-03-01,"BP P.L.C."
31.29,2020-02-29,"BP P.L.C."
31.29,2020-02-28,"BP P.L.C."
31.53,2020-02-27,"BP P.L.C."
32.68,2020-02-26,"BP P.L.C."
32.93,2020-02-25,"BP P.L.C."
34.06,2020-02-24,"BP P.L.C."
35.36,2020-02-21,"BP P.L.C."
35.98,2020-02-20,"BP P.L.C."
36.25,2020-02-19,"BP P.L.C."
36.09,2020-02-18,"BP P.L.C."
36,2020-02-14,"BP P.L.C."
36.18,2020-02-13,"BP P.L.C."
37.17,2020-02-12,"BP P.L.C."
36.55,2020-02-11,"BP P.L.C."
36.19,2020-02-10,"BP P.L.C."
36.37,2020-02-07,"BP P.L.C."
36.88,2020-02-06,"BP P.L.C."
37.67,2020-02-05,"BP P.L.C."
36.5,2020-02-04,"BP P.L.C."
35.23,2020-02-03,"BP P.L.C."
36.13,2020-01-31,"BP P.L.C."
37.03,2020-01-30,"BP P.L.C."
37.17,2020-01-29,"BP P.L.C."
37.41,2020-01-28,"BP P.L.C."
37.44,2020-01-27,"BP P.L.C."
38.13,2020-01-24,"BP P.L.C."
38.2,2020-01-23,"BP P.L.C."
37.88,2020-01-22,"BP P.L.C."
38.32,2020-01-21,"BP P.L.C."
38.77,2020-01-17,"BP P.L.C."
38.84,2020-01-16,"BP P.L.C."
38.71,2020-01-15,"BP P.L.C."
38.82,2020-01-14,"BP P.L.C."
38.8,2020-01-13,"BP P.L.C."
38.74,2020-01-10,"BP P.L.C."
38.96,2020-01-09,"BP P.L.C."
38.83,2020-01-08,"BP P.L.C."
39.43,2020-01-07,"BP P.L.C."
39.85,2020-01-06,"BP P.L.C."
38.83,2020-01-03,"BP P.L.C."
38.14,2020-01-02,"BP P.L.C."
